"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Albania","2012","Female","over 24 year olds","Percent","12.395"
"Albania","2012","All genders","over 24 year olds","Percent","12.89966"
"Albania","2012","Male","over 24 year olds","Percent","13.45877"
"Albania","2011","Male","over 24 year olds","Percent","12.52386"
"Albania","2011","All genders","over 24 year olds","Percent","12.00263"
"Albania","2011","Female","over 24 year olds","Percent","11.4997"
"Albania","2008","Female","over 24 year olds","Percent","8.11323"
"Albania","2008","All genders","over 24 year olds","Percent","9.81624"
"Albania","2008","Male","over 24 year olds","Percent","11.70725"
"Albania","2001","Male","over 24 year olds","Percent","9.22839"
"Albania","2001","All genders","over 24 year olds","Percent","7.42788"
"Albania","2001","Female","over 24 year olds","Percent","5.66423"
"Algeria","2008","All genders","over 24 year olds","Percent","0"
"Algeria","2008","Female","over 24 year olds","Percent","0"
"Algeria","2008","Male","over 24 year olds","Percent","0"
"Andorra","2014","Female","over 24 year olds","Percent","33.19655"
"Andorra","2014","All genders","over 24 year olds","Percent","32.68108"
"Andorra","2014","Male","over 24 year olds","Percent","32.16716"
"Andorra","2006","Male","over 24 year olds","Percent","29.54921"
"Andorra","2006","All genders","over 24 year olds","Percent","30.47792"
"Andorra","2006","Female","over 24 year olds","Percent","31.50927"
"Andorra","2005","Female","over 24 year olds","Percent","27.42966"
"Andorra","2005","All genders","over 24 year olds","Percent","28.10638"
"Andorra","2005","Male","over 24 year olds","Percent","28.71734"
"Andorra","2004","Male","over 24 year olds","Percent","31.59671"
"Andorra","2004","All genders","over 24 year olds","Percent","30.51042"
"Andorra","2004","Female","over 24 year olds","Percent","29.31476"
"Andorra","2003","Female","over 24 year olds","Percent","29.1866"
"Andorra","2003","All genders","over 24 year olds","Percent","27.80536"
"Andorra","2003","Male","over 24 year olds","Percent","26.31579"
"Argentina","2003","Male","over 24 year olds","Percent","0"
"Argentina","2003","All genders","over 24 year olds","Percent","0"
"Argentina","2003","Female","over 24 year olds","Percent","0"
"Armenia","2011","Female","over 24 year olds","Percent","48.5679"
"Armenia","2011","Male","over 24 year olds","Percent","45.07081"
"Armenia","2011","All genders","over 24 year olds","Percent","46.96439"
"Armenia","2001","Male","over 24 year olds","Percent","41.57643"
"Armenia","2001","All genders","over 24 year olds","Percent","42.11391"
"Armenia","2001","Female","over 24 year olds","Percent","42.56792"
"Aruba","2000","Female","over 24 year olds","Percent","0"
"Aruba","2000","Male","over 24 year olds","Percent","0"
"Aruba","2000","All genders","over 24 year olds","Percent","0"
"Australia","2014","Female","over 24 year olds","Percent","42.42926"
"Australia","2014","Male","over 24 year olds","Percent","35.60579"
"Australia","2014","All genders","over 24 year olds","Percent","39.03498"
"Australia","2013","All genders","over 24 year olds","Percent","41.64091"
"Australia","2013","Male","over 24 year olds","Percent","37.45544"
"Australia","2013","Female","over 24 year olds","Percent","45.75682"
"Australia","2012","Male","over 24 year olds","Percent","42.79552"
"Australia","2012","All genders","over 24 year olds","Percent","46.46197"
"Australia","2012","Female","over 24 year olds","Percent","50.07019"
"Australia","2011","Female","over 24 year olds","Percent","46.57024"
"Australia","2011","All genders","over 24 year olds","Percent","42.70266"
"Australia","2011","Male","over 24 year olds","Percent","38.76749"
"Australia","2010","Male","over 24 year olds","Percent","38.45932"
"Australia","2010","All genders","over 24 year olds","Percent","41.79571"
"Australia","2010","Female","over 24 year olds","Percent","45.13926"
"Australia","2009","Female","over 24 year olds","Percent","43.83345"
"Australia","2009","All genders","over 24 year olds","Percent","40.55583"
"Australia","2009","Male","over 24 year olds","Percent","37.2595"
"Australia","2008","Male","over 24 year olds","Percent","35.83086"
"Australia","2008","All genders","over 24 year olds","Percent","39.35687"
"Australia","2008","Female","over 24 year olds","Percent","42.82301"
"Australia","2007","Female","over 24 year olds","Percent","39.52696"
"Australia","2007","All genders","over 24 year olds","Percent","36.73524"
"Australia","2007","Male","over 24 year olds","Percent","33.90703"
"Australia","2006","Male","over 24 year olds","Percent","32.86286"
"Australia","2006","All genders","over 24 year olds","Percent","35.72979"
"Australia","2006","Female","over 24 year olds","Percent","38.53622"
"Australia","2005","Female","over 24 year olds","Percent","36.07575"
"Australia","2005","All genders","over 24 year olds","Percent","34.20449"
"Australia","2005","Male","over 24 year olds","Percent","32.29707"
"Australia","2004","Male","over 24 year olds","Percent","30.9891"
"Australia","2004","All genders","over 24 year olds","Percent","33.36499"
"Australia","2004","Female","over 24 year olds","Percent","35.69093"
"Austria","2014","Female","over 24 year olds","Percent","26.5978"
"Austria","2014","All genders","over 24 year olds","Percent","28.41852"
"Austria","2014","Male","over 24 year olds","Percent","30.37996"
"Austria","2013","Male","over 24 year olds","Percent","30.29904"
"Austria","2013","All genders","over 24 year olds","Percent","27.82756"
"Austria","2013","Female","over 24 year olds","Percent","25.52958"
"Austria","2012","Female","over 24 year olds","Percent","24.32714"
"Austria","2012","All genders","over 24 year olds","Percent","26.99064"
"Austria","2012","Male","over 24 year olds","Percent","29.8585"
"Austria","2011","Male","over 24 year olds","Percent","29.13744"
"Austria","2011","All genders","over 24 year olds","Percent","26.33883"
"Austria","2011","Female","over 24 year olds","Percent","23.74505"
"Austria","2010","Female","over 24 year olds","Percent","23.77245"
"Austria","2010","Male","over 24 year olds","Percent","28.75725"
"Austria","2010","All genders","over 24 year olds","Percent","26.16739"
"Austria","2009","All genders","over 24 year olds","Percent","25.62255"
"Austria","2009","Male","over 24 year olds","Percent","28.56597"
"Austria","2009","Female","over 24 year olds","Percent","22.90417"
"Austria","2008","Female","over 24 year olds","Percent","19.65648"
"Austria","2008","Male","over 24 year olds","Percent","28.18557"
"Austria","2008","All genders","over 24 year olds","Percent","23.59576"
"Austria","2007","All genders","over 24 year olds","Percent","23.867"
"Austria","2007","Male","over 24 year olds","Percent","27.40195"
"Austria","2007","Female","over 24 year olds","Percent","20.61354"
"Austria","2005","Female","over 24 year olds","Percent","20.88841"
"Austria","2005","Male","over 24 year olds","Percent","27.05877"
"Austria","2005","All genders","over 24 year olds","Percent","23.83703"
"Azerbaijan","2014","All genders","over 24 year olds","Percent","30.05712"
