"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Albania","2012","Male","over 24 year olds","Percent","13.45877"
"Albania","2012","All genders","over 24 year olds","Percent","12.89966"
"Albania","2012","Female","over 24 year olds","Percent","12.395"
"Albania","2011","Female","over 24 year olds","Percent","1.50204"
"Albania","2011","All genders","over 24 year olds","Percent","1.45835"
"Albania","2011","Male","over 24 year olds","Percent","1.41307"
"Albania","2008","Male","over 24 year olds","Percent","11.70725"
"Albania","2008","All genders","over 24 year olds","Percent","9.81624"
"Albania","2008","Female","over 24 year olds","Percent","8.11323"
"Albania","2001","Female","over 24 year olds","Percent","5.66423"
"Albania","2001","All genders","over 24 year olds","Percent","7.42788"
"Albania","2001","Male","over 24 year olds","Percent","9.22839"
"Algeria","2008","Female","over 24 year olds","Percent","7.39357"
"Algeria","2008","Male","over 24 year olds","Percent","8.66333"
"Algeria","2008","All genders","over 24 year olds","Percent","8.03136"
"Andorra","2014","Male","over 24 year olds","Percent","20.96429"
"Andorra","2014","Female","over 24 year olds","Percent","21.53787"
"Andorra","2014","All genders","over 24 year olds","Percent","21.25065"
"Andorra","2006","All genders","over 24 year olds","Percent","17.99233"
"Andorra","2006","Female","over 24 year olds","Percent","19.04678"
"Andorra","2006","Male","over 24 year olds","Percent","17.04285"
"Andorra","2005","Male","over 24 year olds","Percent","17.94669"
"Andorra","2005","Female","over 24 year olds","Percent","16.36801"
"Andorra","2005","All genders","over 24 year olds","Percent","17.19768"
"Andorra","2004","All genders","over 24 year olds","Percent","16.31159"
"Andorra","2004","Male","over 24 year olds","Percent","17.11432"
"Andorra","2004","Female","over 24 year olds","Percent","15.42804"
"Anguilla","2001","Female","over 24 year olds","Percent","19.029"
"Anguilla","2001","Male","over 24 year olds","Percent","16.49311"
"Anguilla","2001","All genders","over 24 year olds","Percent","17.78036"
"Argentina","2003","All genders","over 24 year olds","Percent","13.68345"
"Argentina","2003","Female","over 24 year olds","Percent","15.30109"
"Argentina","2003","Male","over 24 year olds","Percent","12.00774"
"Argentina","2001","Male","over 24 year olds","Percent","9.17846"
"Argentina","2001","Female","over 24 year olds","Percent","12.77619"
"Argentina","2001","All genders","over 24 year olds","Percent","11.08125"
"Armenia","2011","All genders","over 24 year olds","Percent","43.69165"
"Armenia","2011","Female","over 24 year olds","Percent","45.4631"
"Armenia","2011","Male","over 24 year olds","Percent","41.59975"
"Armenia","2001","Male","over 24 year olds","Percent","21.37322"
"Armenia","2001","Female","over 24 year olds","Percent","19.49775"
"Armenia","2001","All genders","over 24 year olds","Percent","20.35655"
"Aruba","2000","Male","over 24 year olds","Percent","18.27305"
"Aruba","2000","Female","over 24 year olds","Percent","14.74587"
"Aruba","2000","All genders","over 24 year olds","Percent","16.39508"
"Australia","2014","Male","over 24 year olds","Percent","31.55125"
"Australia","2014","All genders","over 24 year olds","Percent","34.63232"
"Australia","2014","Female","over 24 year olds","Percent","37.68202"
"Australia","2013","Female","over 24 year olds","Percent","40.85939"
"Australia","2013","All genders","over 24 year olds","Percent","37.20559"
"Australia","2013","Male","over 24 year olds","Percent","33.49004"
"Australia","2012","Male","over 24 year olds","Percent","37.55371"
"Australia","2012","Female","over 24 year olds","Percent","44.94715"
"Australia","2012","All genders","over 24 year olds","Percent","41.28002"
"Australia","2011","All genders","over 24 year olds","Percent","38.3591"
"Australia","2011","Female","over 24 year olds","Percent","42.06328"
"Australia","2011","Male","over 24 year olds","Percent","34.5902"
"Australia","2010","Male","over 24 year olds","Percent","34.12827"
"Australia","2010","Female","over 24 year olds","Percent","40.85512"
"Australia","2010","All genders","over 24 year olds","Percent","37.48809"
"Australia","2009","All genders","over 24 year olds","Percent","36.80347"
"Australia","2009","Female","over 24 year olds","Percent","39.76361"
"Australia","2009","Male","over 24 year olds","Percent","33.82644"
"Australia","2008","Male","over 24 year olds","Percent","32.66409"
"Australia","2008","Female","over 24 year olds","Percent","38.91982"
"Australia","2008","All genders","over 24 year olds","Percent","35.81874"
"Australia","2007","All genders","over 24 year olds","Percent","33.74059"
"Australia","2007","Female","over 24 year olds","Percent","36.05375"
"Australia","2007","Male","over 24 year olds","Percent","31.39719"
"Australia","2006","Male","over 24 year olds","Percent","30.63132"
"Australia","2006","Female","over 24 year olds","Percent","35.34354"
"Australia","2006","All genders","over 24 year olds","Percent","33.01255"
"Australia","2005","All genders","over 24 year olds","Percent","31.69099"
"Australia","2005","Female","over 24 year olds","Percent","33.12775"
"Australia","2005","Male","over 24 year olds","Percent","30.22648"
"Australia","2004","Male","over 24 year olds","Percent","29.04625"
"Australia","2004","Female","over 24 year olds","Percent","32.5626"
"Australia","2004","All genders","over 24 year olds","Percent","30.8231"
"Austria","2014","Female","over 24 year olds","Percent","23.45821"
"Austria","2014","Male","over 24 year olds","Percent","29.65081"
"Austria","2014","All genders","over 24 year olds","Percent","26.44067"
"Austria","2013","All genders","over 24 year olds","Percent","18.60537"
"Austria","2013","Male","over 24 year olds","Percent","21.8577"
"Austria","2013","Female","over 24 year olds","Percent","15.58136"
"Austria","2012","Female","over 24 year olds","Percent","14.74315"
"Austria","2012","Male","over 24 year olds","Percent","21.52092"
"Austria","2012","All genders","over 24 year olds","Percent","18.00683"
"Austria","2011","All genders","over 24 year olds","Percent","17.51094"
"Austria","2011","Male","over 24 year olds","Percent","21.07982"
"Austria","2011","Female","over 24 year olds","Percent","14.20327"
"Austria","2010","Female","over 24 year olds","Percent","14.4147"
"Austria","2010","Male","over 24 year olds","Percent","20.87704"
"Austria","2010","All genders","over 24 year olds","Percent","17.51952"
"Austria","2009","All genders","over 24 year olds","Percent","17.32299"
"Austria","2009","Male","over 24 year olds","Percent","20.93726"
"Austria","2009","Female","over 24 year olds","Percent","13.98505"
"Austria","2008","Female","over 24 year olds","Percent","10.87923"
"Austria","2008","Male","over 24 year olds","Percent","20.24351"
"Austria","2008","All genders","over 24 year olds","Percent","15.20425"
"Austria","2007","All genders","over 24 year olds","Percent","15.83076"
"Austria","2007","Male","over 24 year olds","Percent","19.90336"
"Austria","2007","Female","over 24 year olds","Percent","12.08245"
"Austria","2005","Female","over 24 year olds","Percent","12.53104"
"Austria","2005","Male","over 24 year olds","Percent","19.69804"
"Austria","2005","All genders","over 24 year olds","Percent","15.95592"
"Azerbaijan","2014","All genders","over 24 year olds","Percent","25.40687"
"Azerbaijan","2014","Female","over 24 year olds","Percent","23.59365"
"Azerbaijan","2014","Male","over 24 year olds","Percent","27.38254"
"Azerbaijan","2013","Male","over 24 year olds","Percent","27.33567"
"Azerbaijan","2013","Female","over 24 year olds","Percent","23.58526"
"Azerbaijan","2013","All genders","over 24 year olds","Percent","25.37971"
"Azerbaijan","2012","All genders","over 24 year olds","Percent","25.33678"
"Azerbaijan","2012","Female","over 24 year olds","Percent","23.57732"
"Azerbaijan","2012","Male","over 24 year olds","Percent","27.25623"
"Azerbaijan","2011","Male","over 24 year olds","Percent","27.16308"
"Azerbaijan","2011","Female","over 24 year olds","Percent","23.5409"
"Azerbaijan","2011","All genders","over 24 year olds","Percent","25.27255"
"Azerbaijan","2010","All genders","over 24 year olds","Percent","25.22589"
"Azerbaijan","2010","Female","over 24 year olds","Percent","23.46016"
"Azerbaijan","2010","Male","over 24 year olds","Percent","27.15371"
"Azerbaijan","2009","Male","over 24 year olds","Percent","27.36289"
"Azerbaijan","2009","Female","over 24 year olds","Percent","22.94918"
"Azerbaijan","2009","All genders","over 24 year olds","Percent","25.05772"
"Azerbaijan","2008","All genders","over 24 year olds","Percent","13.93961"
"Azerbaijan","2008","Female","over 24 year olds","Percent","10.79528"
"Azerbaijan","2008","Male","over 24 year olds","Percent","17.45556"
"Azerbaijan","2007","Male","over 24 year olds","Percent","18.62926"
"Azerbaijan","2007","Female","over 24 year olds","Percent","11.54207"
"Azerbaijan","2007","All genders","over 24 year olds","Percent","14.88226"
"Azerbaijan","1999","All genders","over 24 year olds","Percent","13.27771"
"Azerbaijan","1999","Female","over 24 year olds","Percent","10.30545"
"Azerbaijan","1999","Male","over 24 year olds","Percent","16.6429"
"Bahamas","2010","Male","over 24 year olds","Percent","18.32002"
"Bahamas","2010","Female","over 24 year olds","Percent","26.95833"
"Bahamas","2010","All genders","over 24 year olds","Percent","22.89428"
"Bahamas","2000","All genders","over 24 year olds","Percent","0.34115"
"Bahamas","2000","Female","over 24 year olds","Percent","0.32925"
"Bahamas","2000","Male","over 24 year olds","Percent","0.35616"
"Bahrain","2010","Male","over 24 year olds","Percent","18.14633"
"Bahrain","2010","Female","over 24 year olds","Percent","21.56208"
"Bahrain","2010","All genders","over 24 year olds","Percent","19.26988"
"Bahrain","2001","All genders","over 24 year olds","Percent","11.21361"
"Bahrain","2001","Male","over 24 year olds","Percent","10.8075"
"Bahrain","2001","Female","over 24 year olds","Percent","11.94125"
"Bangladesh","2001","All genders","over 24 year olds","Percent","4.20865"
"Bangladesh","2001","Male","over 24 year olds","Percent","4.91579"
"Bangladesh","2001","Female","over 24 year olds","Percent","3.48744"
