Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,15-09-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,405.46,487602457.75,596423607.11,695304363.03,764887117.19,872138715.08,958463184.36,1082979720.67,1245688268.16,1320474860.34,1379960893.85,1531944134.08,1665100558.66,1722798882.68,1873452513.97,1920111731.84,1941340782.12,2021229050.28,2228491620.11,2330726256.98,2424581005.59,2615083798.88,2745251396.65,2498882681.56,2390502793.30,2549720670.39,2534636871.51,2727849720.67,2790849162.01,2962905027.93,2983636871.51,3092430167.60,3202188606.93,,
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,19291.93,19701.86,21470.35,25705.00,23501.65,26781.17,29120.19,30140.09,32841.01,37702.96,40271.58,44427.89,48248.52,62914.44,78165.08,83344.08,83119.19,94884.79,106229.53,124361.71,156341.12,160202.20,154499.76,159582.34,145861.80,130296.79,146863.96,179542370813.49,188796036379.40,194330035504.46,212103223238.10,220521641892.85,219977314187.07,220372083091.29,224511167432.29,252474620174.86,251890012878.89,264855094894.72,249723389130.70,246421647180.53,267613767300.71,241472709667.31,247009474649.70,325890209856.69,404799681394.14,470509677443.76,532138977188.97,611561775265.04,666291101240.71,669232727887.43,803688606377.65,896256075479.17,913197374145.50,927655465312.34,956318682604.14,893099720325.01,854751939466.57,962268990853.85,984032027895.52,977809241188.77,898474072150.35
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537.78,548.89,546.67,751.11,800.00,1006.67,1400.00,1673.33,1373.33,1408.89,1748.89,1831.11,1595.56,1733.33,2155.56,2366.67,2555.56,2953.33,3300.00,3697.94,3641.72,3478.79,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,4055179566.35,4515558808.11,5226778808.89,6209137624.77,6971285594.68,9747879531.86,10109225813.67,12439087076.77,15856574731.44,17804292964.10,20001598505.70,20561069558.22,20484885119.73,19907111418.99,18017749073.64,18869945678.42,18353881129.52,19291104007.61,19807067268.11
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,10407.32,11131.30,11946.84,12680.22,13842.62,14866.82,15837.47,14430.65,14884.70,16887.03,23511.48,20838.91,25272.34,31282.96,44227.41,51459.77,62147.56,65334.10,71220.53,88654.31,112064.06,211065.18,187218.45,138155.59,114296.08,116541.35,107528.97,110354025260.95,108975317103.85,101798537787.42,121837737280.18,117491402473.35,118316836021.13,97186773683.66,85693055813.76,107403017953.85,119043576285.77,119983265523.38,122621303104.93,130198655013.55,134150161633.26,141862545777.66,170531894804.47,197384166042.61,245856459111.75,302110792974.07,384336309536.00,451866076568.11,553031246170.03,492545833170.89,580217267150.15,658428249866.88,716935231751.07,807818949699.14,846943079513.47,757492080699.65,687484728475.59,680989095100.78,738131279381.97,792078923887.67,786584975143.58
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5934.07,5553.82,5553.82,5787.82,6135.17,7558.61,7076.79,8089279284.72,8775116269.17,10207922517.18,11236275842.74,,,,3390500000.00,5561222222.22,7526963963.96,7649716157.21,6506619144.60,6152936539.22,9129634978.34,8936063723.20,15285594828.42,17812705294.33,23552052407.55,36970918699.25,52381006892.04,65266452081.39,88538611205.14,70307163678.24,83799496611.20,111789686464.44,128052853643.11,136709862831.19,145712200312.51,116193649124.15,101123851090.46,122123822333.59,101353230784.59,89417190341.25,62306913444.29
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1857.34,1897.05,2097.33,2080796250.00,2051236250.00,2253090000.00,2028553750.00,1099559027.78,652174990.84,1185315468.46,1880951520.40,2392764853.42,3199642579.97,2258515610.09,2545967253.24,3212119044.17,3480355188.60,3922099470.97,4348070165.19,5611492282.87,7184681398.57,8052075642.11,8896073938.31,10677321490.38,12881354103.84,12044223352.54,11926928505.52,12890765324.23,12319830252.48,12776217194.79,13228144008.34,11386846319.16,11861200797.47,13019693450.88,15147020535.39,15286612572.69,14799615097.10
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.62,89.41,113.41,150.82,186.56,220.13,227.28,254.02,308.01,411.58,446.42,388.96,375.90,327.86,330.07,346.74,482.00,611316399.41,721425939.15,795449332.40,1029048481.88,1106928582.87,1210013651.88,1007025755.00,1017549124.33,1178738991.19,1223945356.63,1180597272.73,1211932397.82,1239876305.14,1429049198.45,1546926174.50,1755910032.00,2361726862.30,2894921778.00,3159905484.39,3456442102.62,3952600602.24,4085630584.44,3674409558.21,3449966856.69,3629203786.19,3188808942.57,3193704343.21,3271808157.30,2789870187.51,2896679211.87,3000180750.11,3218316013.23,3155065487.52,
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35414.38,38885.22,43787.66,50670.12,60438.07,76481.12,144591.43,160172.99,198993.15,229146.77,251632.44,340540.51,460788.31,475354.08,446303.87,419648.59,425664.87,421336.93,402271.76,428929959913.83,421921035099.97,442427853636.31,612510585129.38,424942558315.95,454937745274.11,460570426782.02,473718020193.90,517585694076.32,567523288775.50,611572509024.02,590398481811.84,656994445995.67,756206410883.05,731690721592.83,732197408473.79,811817119855.92,965110763304.80,1186138212643.35,1405914768589.17,1639464200014.75,2081037477797.28,1795731689310.09,2111125616635.67,2494923345274.91,2769083177301.96,2849688199794.27,2884648185179.87,2513208408401.34,2461967082628.85,2511064813464.14,2758001019806.72,2811182227470.86,2530185792347.04
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14720.67,19213.02,24871.78,23775.83,31225.46,43598.75,49333.42,46622.72,42803.32,41807.95,40603.65,33943.61,36384908744.21,36275674203.21,41464995913.92,50701443748.30,51552165622.45,54239171887.77,55625170253.34,59305093979.84,65743666575.86,73571233996.19,78839008444.57,75674336283.19,84445473110.96,104337372362.15,103311640571.82,109816201497.62,124346358066.71,147824370319.95,180617467964.60,222116541865.21,257916133424.10,315474615738.60,253547358747.45,289787338325.39,350666031313.82,374590605854.32,390107556160.65,403137100068.07,358135057862.49,357045064669.84,385605506848.20,422215043594.28,421142267937.37,
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,0.00,0.00,24450.60,18272.12,25605.25,28344.71,28630.47,24256.67,26436.86,31256.28,31584.21,33293.20,34733.00,52544.00,72436.78,52438.65,51169.50,56781.00,58082.87,69252.33,76961.92,78676.84,84307.49,103979.11,79092.00,88416.67,110934.44,111106191358.20,126206817196.09,76636898036.47,141352368714.69,189719984268.49,228788617201.70,236741715015.02,257440000000.00,258031750000.00,272149750000.00,292859000000.00,298948250000.00,283523000000.00,284203750000.00,268696750000.00,97724004251.86,127586973492.18,164657930452.79,198737095012.28,232557260817.31,287530508430.57,361558037110.42,332976484577.62,423627422092.49,530163281574.66,545982375701.13,552025140252.25,526319673731.64,594749285413.21,557531376217.97,643628665302.16,517626700412.89,445445177459.45,383066977653.56
