,Country Name,Year,LowerSecondaryAttainment,UpperSecondaryAttainment,BachelorsAttainment,MastersAttainment,DoctoralAttainment,GDP_Millions,%_expenditure_gdp
0,Australia,2010,93.19953156,72.79897308,,,,1146138465603.81,5.550059795
1,Austria,2010,,76.55609894,,,,391892746544.69,5.7004799839999984
2,Azerbaijan,2010,95.56773376,88.645401,,,,52909294791.93,2.780620098
3,Belgium,2010,79.64148712,61.7283783,,,,480951629493.03,6.442590237
4,Bulgaria,2010,93.21961212,69.61495209,20.71764946,,,50381825504.26,3.882390022
5,Bahrain,2010,54.89627075,42.11301041,9.479330062999999,1.00327003,0.2146299928,25713271276.6,
6,Bosnia and Herzegovina,2010,56.91952896,31.11343002,,,,17176781336.76,
7,Switzerland,2010,95.79167175,82.45456696,,,,603434493402.68,4.926050186
8,Chile,2010,75.04583740000002,52.86014938,,,,218537551220.07,4.162089825
9,Colombia,2010,44.15533829,39.13526154,9.47192955,2.571990013,,286563105192.46,4.83382988
10,Costa Rica,2010,48.98918152,35.50172043,,,,37658614803.28,6.634449959
11,Cyprus,2010,75.84166718,65.45372009,,,,25732432719.08,6.54279995
12,Czech Republic,2010,99.82282257,87.99365997,,,,209069940963.18,4.064459801
13,Germany,2010,96.52384186,81.12799072,,,,3396354075663.73,4.94367981
14,Denmark,2010,,74.93997955,,,,321995279401.5,8.559550285
15,Ecuador,2010,44.68481827,34.91764832,10.2697897,0.9248600006,,69555367000.0,4.507430077
16,Finland,2010,,70.44805908,,,,249181190476.37,6.504449844
17,France,2010,79.21469116,61.89693832,,,,2642609548930.36,
18,Hungary,2010,97.93047333,75.6911087,,,,131916516051.99,4.761209965
19,"Iran, Islamic Rep.",2010,62.48841858,42.48559189,,,,486807615326.15,3.709180117
20,Lithuania,2010,90.95951843,80.54962158,,,,37128694028.24,5.312739849
21,Latvia,2010,99.11830139,85.56651306,,,,23869752327.33,5.072710037
22,Moldova,2010,93.78920746,74.40273285,,,,6974960345.37,7.592299937999999
23,Mexico,2010,53.08692169,29.20441055,12.76121998,1.311210036,0.1426800042,1057801295584.05,5.159220219
24,Malta,2010,68.13394165,25.86957932,,,,9035932122.5,6.454889774
25,Netherlands,2010,89.52279663,66.77232361,,,,846554894931.08,5.489089966
26,Norway,2010,99.70407867,75.4141922,,,,428757038466.84,6.746339797999999
27,Pakistan,2010,33.38510132,23.87871933,6.974460125,,,177165635077.07,2.286870003
28,Portugal,2010,41.30255127,25.59531021,12.66298008,,,237880908317.65,5.412489891
29,West Bank and Gaza,2010,52.65996170000001,34.95087051,,,,9681500000.0,6.7254700660000015
30,Qatar,2010,46.81409073,36.73772812,15.75669956,,,125122306346.15,4.539659977
31,Singapore,2010,76.19834137,65.52105713,23.68022919,,,239809387605.43,3.080440044
32,Serbia,2010,85.63169098,63.66580963,,,,41819468691.83,4.327809811
33,Slovenia,2010,95.4296875,77.67381287,,,,48161250405.25,5.545460224
34,Sweden,2010,87.07034302,77.61637878,,,,495812558843.31,6.522689819
35,Turkey,2010,46.58588028,29.98638916,,,,776992599946.77,
36,Uruguay,2010,49.49821091,27.17359924,,,,40284481651.9,
37,United States,2010,94.76950073,87.14940643,,,,14992052727000.0,
38,Australia,2011,93.60810089,74.0616684,,,,1396649906339.35,5.074510098
39,Austria,2011,,76.42769623,,,,431120310088.82,5.592269897
40,Azerbaijan,2011,95.55583954,88.65878296,,,,65951627200.2,2.435640097
41,Belgium,2011,80.10137177,62.75992966,,,,522645519183.59,6.4319901470000005
42,Bangladesh,2011,35.29796982,24.18281937,5.693860054,1.681699991,0.07954999804,128637938711.39,2.132699966
43,Bulgaria,2011,93.73532867,70.65316772,20.80995941,,,57386216850.34,3.566430092
44,Bosnia and Herzegovina,2011,56.83264923,32.74235916,,,,18644723860.97,
45,Switzerland,2011,95.86393738,82.35539246,,,,722038242134.62,4.969860077
46,Chile,2011,72.83944702,50.8061409,10.36456966,0.4860399961,,252251992029.44,4.045189857
47,Colombia,2011,45.35335922,40.26528168,9.523409843,2.7658100130000003,,334943871931.75,4.466080189
48,Costa Rica,2011,50.1252594,36.54347992,,,,42762617081.65,6.455349922000001
49,Cyprus,2011,77.22283173,67.78410339,,,,27565469098.0,6.5385398860000015
50,Czech Republic,2011,99.81562042,88.3989563,,,,229562733398.95,4.2721400260000015
51,Germany,2011,96.71362305,81.72286224,,,,3744408602683.94,4.82487011
52,Denmark,2011,,75.47676086,,,,344003137611.27,8.48486042
53,Ecuador,2011,45.34046936,35.90111923,9.621370316,0.5546399951,,79276664000.0,4.726890087
54,Finland,2011,,71.20155334,,,,275243697751.01,6.445049762999999
55,France,2011,79.81372833,62.7715683,,,,2861408170264.6,
56,Honduras,2011,27.64826965,19.22204971,5.118130207,,,17710315006.0,
57,Hungary,2011,98.20565796,76.65756226,,,,141759722464.0,4.590109825
