Country Name,Year,LowerSecondaryAttainment,UpperSecondaryAttainment,BachelorsAttainment,MastersAttainment,DoctoralAttainment,GDP_Millions,%_expenditure_gdp
Australia,2010,93.19953156,72.79897308,22.09754243,4.14055156,0.90122692,1146138465604,5.550059795
Australia,2011,93.60810089,74.0616684,23.37206897,4.60027645,0.93916779,1396649906339,5.074510098
Australia,2012,94.44893646,76.48301697,24.64659551,5.06000134,0.97710865,1546151783873,4.868999958
Australia,2013,91.0807724,72.03684235,26.74360085,5.756979942,0.9857800007,1576184467015,5.229740143
Australia,2014,91.45050049,71.23394012,24.94644928,5.324850082,0.9340800047,1467483705132,5.164770126
Australia,2015,92.67857361,75.55976105,29.78425026,7.02229023,1.317000031,1351693984525,5.311270237
Australia,2016,92.76399231,76.41803741,30.02980995,6.734690189,1.082419991,1208846993740,5.276780128
Australia,2017,93.00570679,77.26136017,31.39118958,7.369840145,1.203500032,1329188475752,5.124249935
Australia,2018,93.43907166,78.32575989,31.74933052,7.805580139,1.136630058,1432881172002,5.16214694
Australia,2019,93.02753906,72.56887224,33.5682813,8.27807557,1.24269472,1396567014733,5.15372458
Austria,2010,97.38201196,76.55609894,9.906357,9.71591938,1.25230507,391892746545,5.700479984
Austria,2011,97.68203284,76.42769623,10.49386,9.9292713,1.17565005,431120310089,5.592269897
Austria,2012,97.98204174,76.97511292,11.0813,10.14262322,1.09899504,409425234155,5.480400085
Austria,2013,98.60236184,77.30635834,11.66889,10.35597514,1.09899504,430068712972,5.547110081
Austria,2014,98.92321777,78.10984039,12.25236988,10.6243,1.078390002,441996131737,5.447619915
Austria,2015,98.95720124,79.01290131,13.08166981,10.8641901,0.8305600286,381817565894,5.456580162
Austria,2016,99.01633291,79.21024323,12.96800041,10.66808987,0.4711999893,395568644341,5.484350204
Austria,2017,99.20924811,79.6625824,14.24862957,11.40083981,0.9426599741,416207272210,5.358039856
Austria,2018,99.40892112,80.18840599,14.60644484,11.42273474,0.63906497,454872626780,5.34187613
Austria,2019,99.53916672,80.69525083,15.1939,11.63608666,0.56240996,445075391688,5.30488055
Bahrain,2010,54.89627075,42.11301041,9.479330063,1.00327003,0.2146299928,25713271277,2.5
Bahrain,2011,57.02051903,43.77497104,9.94131288,1.04636564,0.21727722,28776595745,2.56497175
Bahrain,2012,59.86295279,46.27656602,11.11431393,1.09402666,0.22056729,30749308511,2.65
Bahrain,2013,62.70538655,48.77816101,12.28731497,1.14168769,0.22385735,32539468085,2.48
Bahrain,2014,65.54782031,51.27975599,13.46031601,1.18934872,0.22714742,33387712766,2.47
Bahrain,2015,68.39025406,53.78135098,14.63331705,1.23700974,0.23043748,31050638298,2.67
Bahrain,2016,69.22395325,54.04759979,14.28199959,1.293069959,0.2333900034,32234973404,2.46836158
Bahrain,2017,72.34710693,56.53815842,14.33981037,1.279010057,0.2325499952,35473776596,2.33
Bahrain,2018,79.93611908,64.92823029,21.60512924,1.420349956,0.2444700003,37652500000,2.42971751
Bahrain,2019,79.75998909,65.78773093,22.32532123,1.42765385,0.24559774,38474521277,2.41039548
Bangladesh,2010,34.91238741,24.0382194,5.21024906,1.53092761,0.062813391,115279077465,2.10217995
Bangladesh,2011,35.29796982,24.18281937,5.693860054,1.681699991,0.07954999804,128637938711,2.132699966
Bangladesh,2012,36.04573822,24.67884064,5.870419979,1.725659966,0.08145000041,133355749482,2.175499916
Bangladesh,2013,33.70534897,22.18535042,5.502319813,1.966709971,0.0916299969,149990451022,1.966160059
Bangladesh,2014,34.91572952,23.21816063,5.85213995,2.05821991,0.0967900008,172885454931,1.84985999
Bangladesh,2015,40.84080124,28.56217957,8.237139702,3.325939894,0.1583700031,195078678697,1.73678
Bangladesh,2016,41.50080109,28.96916962,8.509599686,3.481189966,0.165959999,221415188000,1.535539985
Bangladesh,2017,42.61808014,29.79417038,8.976880074,3.792439938,0.1794099957,249710922462,1.51062002
Bangladesh,2018,43.64284134,30.54476929,9.361740112,4.017970085,0.1930499971,274038973437,1.39754004
Bangladesh,2019,44.68355179,31.33009911,9.760549545,4.261950016,0.205249995,302563398920,1.326320052
Belgium,2010,79.64148712,61.7283783,27.11917514,10.97553282,0.39908695,480951629493,6.442590237
Belgium,2011,80.10137177,62.75992966,28.09828949,11.50008984,0.43476396,522645519184,6.431990147
Belgium,2012,80.29019165,63.21110153,29.07740383,12.02464686,0.47044097,496181260258,6.49331659
Belgium,2013,81.58792877,64.27867889,30.24835014,12.37928963,0.5343899727,521642714408,6.630529881
Belgium,2014,82.34053802,64.01886749,31.25900078,13.4917202,0.4946399927,534678075827,6.590469837
Belgium,2015,84.35791779,66.21057892,31.70948029,13.5417099,0.5862900019,462149679344,6.451570034
Belgium,2016,84.78952026,67.0826416,32.16696167,13.66187,0.6238899827,475739588765,6.45953989
Belgium,2017,86.50417328,69.15045166,34.68994141,14.91699982,0.6481500268,501522868356,6.412280083
Belgium,2018,86.97496251,69.21436568,34.95208989,15.17198896,0.68450302,543410654017,6.47619358
Belgium,2019,87.98014504,70.19420728,35.93120423,15.69654598,0.72018003,533254518108,6.47333975
Costa Rica,2010,48.98918152,35.50172043,23.31515377,2.04872189,0.03492372,37658614803,6.634449959
Costa Rica,2011,50.1252594,36.54347992,23.00097743,2.14986591,0.07123981,42762617082,6.455349922
Costa Rica,2012,50.81568146,37.38465118,22.68680109,2.25100994,0.081923799,47231651865,6.68983984
Costa Rica,2013,51.69931469,37.61397441,22.37262475,2.35215397,0.12961803,50949672206,6.77814551
Costa Rica,2014,54.66732025,40.21863937,22.78627014,2.341840029,0.15278924,52016408951,6.869520187
Costa Rica,2015,53.06430054,37.99145889,21.30458069,2.70746994,0.16918274,56441917653,7.082540035
Costa Rica,2016,53.1069603,38.29613876,20.63398933,2.648960114,0.191823699,58847016045,7.097680092
Costa Rica,2017,54.44488338,39.44997308,21.11591939,2.75673008,0.26918963,60516043590,7.06689067
Costa Rica,2018,54.55846024,39.65673065,21.30971909,2.822930098,0.3147499859,62335931465,6.978569984
Costa Rica,2019,55.81766773,40.36797241,20.48756671,2.95901814,0.390167243,63951114302,6.61126325
